State,Party Affiliation
Texas,Democratic
Florida,Democratic
Ohio,Democratic
North Carolina,Democratic
Georgia,Democratic
Virginia,Democratic
Indiana,Democratic
Missouri,Democratic
Tennessee,Democratic
Alabama,Democratic
Louisiana,Democratic
Arizona,Democratic
Colorado,Democratic
Kentucky,Democratic
Oklahoma,Democratic
South Carolina,Democratic
Mississippi,Democratic
Arkansas,Democratic
Kansas,Democratic
Nebraska,Democratic
Utah,Democratic
West Virginia,Democratic
Idaho,Democratic
Nevada,Democratic
New Hampshire,Democratic
Alaska,Democratic
Montana,Democratic
North Dakota,Democratic
South Dakota,Democratic
Wyoming,Democratic
Connecticut,Republican
Delaware,Republican
Washington,Republican
Hawaii,Republican
Illinois,Republican
Iowa,Republican
Maine,Republican
Maryland,Republican
Massachusetts,Republican
Michigan,Republican
Minnesota,Republican
New Jersey,Republican
New Mexico,Republican
New York,Republican
Oregon,Republican
Pennsylvania,Republican
Rhode Island,Republican
Vermont,Republican
Washington,Republican
Wisconsin,Republican